"country","month","downloads"
"AU",1,1289
"AU",2,2030
"AU",3,3539
"AU",4,2171
"AU",5,2443
"AU",6,1300
"AU",7,2669
"AU",8,2650
"AU",9,1858
"AU",10,1921
"AU",11,1438
"AU",12,943
"CA",1,4662
"CA",2,2659
"CA",3,2956
"CA",4,2525
"CA",5,2988
"CA",6,1752
"CA",7,2052
"CA",8,1750
"CA",9,4563
"CA",10,3454
"CA",11,2892
"CA",12,1758
"CN",1,4639
"CN",2,2425
"CN",3,5671
"CN",4,4344
"CN",5,3677
"CN",6,2692
"CN",7,3486
"CN",8,2398
"CN",9,4793
"CN",10,5034
"CN",11,5525
"CN",12,5820
"DE",1,3630
"DE",2,3235
"DE",3,5586
"DE",4,5595
"DE",5,4387
"DE",6,3545
"DE",7,3316
"DE",8,2757
"DE",9,3528
"DE",10,5733
"DE",11,4664
"DE",12,2919
"FR",1,2000
"FR",2,1812
"FR",3,1905
"FR",4,1968
"FR",5,1545
"FR",6,1253
"FR",7,1031
"FR",8,765
"FR",9,2827
"FR",10,2724
"FR",11,2215
"FR",12,1635
"GB",1,4303
"GB",2,4088
"GB",3,4079
"GB",4,3588
"GB",5,3018
"GB",6,2366
"GB",7,2791
"GB",8,2362
"GB",9,4410
"GB",10,6540
"GB",11,4878
"GB",12,3147
"IN",1,3878
"IN",2,3293
"IN",3,3348
"IN",4,3131
"IN",5,2707
"IN",6,2307
"IN",7,2565
"IN",8,2231
"IN",9,3016
"IN",10,3025
"IN",11,2296
"IN",12,2773
"JP",1,2096
"JP",2,1596
"JP",3,1787
"JP",4,2084
"JP",5,1939
"JP",6,1598
"JP",7,1964
"JP",8,1359
"JP",9,1795
"JP",10,2648
"JP",11,2235
"JP",12,2396
"KR",1,983
"KR",2,734
"KR",3,1864
"KR",4,1467
"KR",5,1408
"KR",6,981
"KR",7,1214
"KR",8,953
"KR",9,2724
"KR",10,2973
"KR",11,2519
"KR",12,2039
"US",1,36003
"US",2,24036
"US",3,25288
"US",4,26955
"US",5,22546
"US",6,20338
"US",7,22450
"US",8,28383
"US",9,47309
"US",10,58486
"US",11,55176
"US",12,43669
