"year","Country","downloads"
"2017","Afghanistan",13
"2017","Albania",130
"2017","Algeria",190
"2017","Andorra",14
"2017","Angola",194
"2017","Antigua and Barbuda",7
"2017","Argentina",2975
"2017","Armenia",263
"2017","Australia",22354
"2017","Austria",5020
"2017","Azerbaijan",113
"2017","Bahamas",16
"2017","Bahrain",48
"2017","Bangladesh",380
"2017","Barbados",31
"2017","Belarus",644
"2017","Belgium",5948
"2017","Belize",28
"2017","Benin",112
"2017","Bhutan",29
"2017","Bolivia",216
"2017","Bosnia and Herzegowina",155
"2017","Botswana",78
"2017","Brazil",15016
"2017","Brunei Darussalam",65
"2017","Bulgaria",598
"2017","Burkina Faso",119
"2017","Burundi",8
"2017","Cambodia",63
"2017","Cameroon",132
"2017","Canada",28912
"2017","Cape Verde",14
"2017","Central African Republic",9
"2017","Chile",3427
"2017","China",48578
"2017","Colombia",8092
"2017","Comoros",1
"2017","Congo, Democratic Republic",59
"2017","Congo, People’s Republic",21
"2017","Costa Rica",1382
"2017","Cote d'Ivoire",148
"2017","Croatia (Local Name: Hrvatska)",803
"2017","Cuba",50
"2017","Cyprus",194
"2017","Czech Republic",2781
"2017","Denmark",5005
"2017","Djibouti",8
"2017","Dominica",12
"2017","Dominican Republic",269
"2017","East Timor",4
"2017","Ecuador",1806
"2017","El Salvador",156
"2017","Equatorial Guinea",1
"2017","Estonia",704
"2017","Ethiopia",333
"2017","Fiji",40
"2017","Finland",3778
"2017","France",20952
"2017","Gabon",15
"2017","Gambia",42
"2017","Georgia",102
"2017","Germany",45646
"2017","Ghana",615
"2017","Greece",2477
"2017","Greenland",16
"2017","Grenada",1
"2017","Guatemala",572
"2017","Guinea",17
"2017","Guinea-Bissau",1
"2017","Guyana",24
"2017","Haiti",310
"2017","Honduras",171
"2017","Hong Kong",12243
"2017","Hungary",1732
"2017","Iceland",415
"2017","India",40497
"2017","Indonesia",5857
"2017","Iran",1268
"2017","Iraq",42
"2017","Ireland",3595
"2017","Israel",3553
"2017","Italy",10092
"2017","Jamaica",119
"2017","Japan",23441
"2017","Jordan",166
"2017","Kazakhstan",412
"2017","Kenya",1318
"2017","Korea, Democratic People's Republic",2
"2017","Korea, Republic",16548
"2017","Kuwait",138
"2017","Kyrgyzstan",45
"2017","Laos",19
"2017","Latvia",401
"2017","Lebanon",257
"2017","Lesotho",19
"2017","Liberia",29
"2017","Libya",14
"2017","Liechtenstein",49
"2017","Lithuania",750
"2017","Luxembourg",375
"2017","Macedonia",101
"2017","Madagascar",96
"2017","Malawi",57
"2017","Malaysia",2930
"2017","Maldives",22
"2017","Mali",30
"2017","Malta",156
"2017","Mauritania",15
"2017","Mauritius",253
"2017","Mexico",8586
"2017","Moldova",81
"2017","Monaco",10
"2017","Mongolia",124
"2017","Morocco",486
"2017","Mozambique",83
"2017","Myanmar",21
"2017","Nepal",309
"2017","Netherlands",14584
"2017","New Zealand",4356
"2017","Nicaragua",58
"2017","Niger",28
"2017","Nigeria",930
"2017","Norway",3658
"2017","Oman",100
"2017","Pakistan",1484
"2017","Panama",179
"2017","Papua New Guinea",35
"2017","Paraguay",68
"2017","Peru",2792
"2017","Philippines",2462
"2017","Poland",7840
"2017","Portugal",2842
"2017","Puerto Rico",474
"2017","Qatar",217
"2017","Romania",2453
"2017","Russian Federation",12385
"2017","Rwanda",73
"2017","Saint Kitts and Nevis",15
"2017","Saint Lucia",7
"2017","Samoa",5
"2017","San Marino",1
"2017","Sao Tome and Príncipe",13
"2017","Saudi Arabia",598
"2017","Senegal",206
"2017","Seychelles",54
"2017","Sierra Leone",34
"2017","Singapore",6263
"2017","Slovakia (Slovak Republic)",714
"2017","Slovenia",679
"2017","Solomon Islands",5
"2017","Somalia",26
"2017","South Africa",4108
"2017","Spain",14262
"2017","Sri Lanka",759
"2017","Sudan",41
"2017","Suriname",34
"2017","Swaziland",23
"2017","Sweden",5187
"2017","Switzerland",11949
"2017","Syrian Arab Republic",19
"2017","Taiwan",8343
"2017","Tajikistan",6
"2017","Tanzania",208
"2017","Thailand",3237
"2017","Togo",26
"2017","Trinidad and Tobago",119
"2017","Tunisia",479
"2017","Turkey",5068
"2017","Turkmenistan",3
"2017","Uganda",219
"2017","Ukraine",2403
"2017","United Arab Emirates",956
"2017","United Kingdom",41589
"2017","United States",276722
"2017","Uruguay",539
"2018","Afghanistan",23
"2018","Albania",124
"2018","Algeria",217
"2018","Andorra",26
"2018","Angola",149
"2018","Antigua and Barbuda",13
"2018","Argentina",3657
"2018","Armenia",305
"2018","Australia",24221
"2018","Austria",5828
"2018","Azerbaijan",248
"2018","Bahamas",25
"2018","Bahrain",72
"2018","Bangladesh",590
"2018","Barbados",66
"2018","Belarus",682
"2018","Belgium",5329
"2018","Belize",31
"2018","Benin",79
"2018","Bhutan",32
"2018","Bolivia",378
"2018","Bosnia and Herzegowina",130
"2018","Botswana",67
"2018","Brazil",16023
"2018","Brunei Darussalam",140
"2018","Bulgaria",697
"2018","Burkina Faso",124
"2018","Burundi",4
"2018","Cambodia",126
"2018","Cameroon",105
"2018","Canada",33963
"2018","Cape Verde",12
"2018","Chile",4252
"2018","China",50466
"2018","Colombia",8726
"2018","Comoros",4
"2018","Congo, Democratic Republic",56
"2018","Congo, People’s Republic",60
"2018","Costa Rica",1632
"2018","Cote d'Ivoire",142
"2018","Croatia (Local Name: Hrvatska)",993
"2018","Cuba",71
"2018","Cyprus",354
"2018","Czech Republic",2685
"2018","Denmark",5612
"2018","Djibouti",7
"2018","Dominica",8
"2018","Dominican Republic",483
"2018","East Timor",1
"2018","Ecuador",1870
"2018","El Salvador",252
"2018","Equatorial Guinea",2
"2018","Eritrea",2
"2018","Estonia",643
"2018","Ethiopia",443
"2018","Fiji",40
"2018","Finland",4752
"2018","France",21655
"2018","Gabon",15
"2018","Gambia",41
"2018","Georgia",150
"2018","Germany",48851
"2018","Ghana",452
"2018","Greece",2752
"2018","Greenland",16
"2018","Grenada",2
"2018","Guatemala",469
"2018","Guinea",24
"2018","Guyana",26
"2018","Haiti",87
"2018","Honduras",408
"2018","Hong Kong",13652
"2018","Hungary",1904
"2018","Iceland",547
"2018","India",34542
"2018","Indonesia",7202
"2018","Iran",1264
"2018","Iraq",119
"2018","Ireland",4160
"2018","Israel",4030
"2018","Italy",12645
"2018","Jamaica",139
"2018","Japan",23458
"2018","Jordan",423
"2018","Kazakhstan",470
"2018","Kenya",1840
"2018","Korea, Republic",19849
"2018","Kuwait",176
"2018","Kyrgyzstan",60
"2018","Laos",22
"2018","Latvia",643
"2018","Lebanon",354
"2018","Lesotho",43
"2018","Liberia",10
"2018","Libya",18
"2018","Liechtenstein",45
"2018","Lithuania",1049
"2018","Luxembourg",392
"2018","Macedonia",90
"2018","Madagascar",108
"2018","Malawi",91
"2018","Malaysia",3483
"2018","Maldives",27
"2018","Mali",48
"2018","Malta",226
"2018","Marshall Islands",2
"2018","Mauritania",53
"2018","Mauritius",351
"2018","Mexico",10058
"2018","Micronesia",3
"2018","Moldova",85
"2018","Monaco",47
"2018","Mongolia",171
"2018","Morocco",795
"2018","Mozambique",87
