"version","month","downloads"
"3.4.3",1,78467
"3.4.3",2,64565
"3.4.3",3,36325
"3.4.3",4,452
"3.4.3",5,407
"3.4.3",6,326
"3.4.3",7,146
"3.4.3",8,98
"3.4.3",9,576
"3.4.3",10,969
"3.4.3",11,1023
"3.4.3",12,825
"3.4.4",3,41619
"3.4.4",4,52188
"3.4.4",5,600
"3.4.4",6,603
"3.4.4",7,663
"3.4.4",8,827
"3.4.4",9,2023
"3.4.4",10,3314
"3.4.4",11,3733
"3.4.4",12,3397
"3.5.0",4,21343
"3.5.0",5,63753
"3.5.0",6,47154
"3.5.0",7,3535
"3.5.0",8,255
"3.5.0",9,320
"3.5.0",10,804
"3.5.0",11,410
"3.5.0",12,405
"3.5.1",7,49633
"3.5.1",8,57577
"3.5.1",9,100635
"3.5.1",10,115789
"3.5.1",11,94978
"3.5.1",12,53155
"latest",1,943
"latest",2,861
"latest",3,1076
"latest",4,1096
"latest",5,955
"latest",6,1155
"latest",7,1152
"latest",8,1594
"latest",9,3701
"latest",10,6860
"latest",11,7484
"latest",12,6297
